fy_id,fy_title,fy_type,fy_status,platform,xzq,sq,jd,wd,month_zj,jzmj,is_dt,zx_qk
BJ0000188,北新桥16.1㎡简装合租,合租,已租,自如,东城区,北新桥,116.389541,39.946125,3060,16.1,是,简装
BJ0000189,良乡25.1㎡简装合租,合租,在租,链家,房山区,良乡,116.164447,39.745991,1076,25.1,否,简装
BJ0000190,大红门18.4㎡精装合租,合租,在租,贝壳找房,丰台区,大红门,116.299743,39.819759,2320,18.4,否,精装
BJ0000191,天坛75.9㎡精装整租,整租,在租,链家,东城区,天坛,116.440493,39.961282,11364,75.9,是,精装
BJ0000192,新街口24.9㎡简装合租,合租,在租,安居客,西城区,新街口,116.405219,39.890069,3414,24.9,否,简装
BJ0000193,牡丹园14.7㎡毛坯合租,合租,已租,链家,海淀区,牡丹园,116.29608,39.97024,2676,14.7,否,毛坯
BJ0000194,马坡13.7㎡精装合租,合租,已租,贝壳找房,顺义区,马坡,116.631413,40.159649,1302,13.7,否,精装
BJ0000195,方庄84.9㎡精装整租,整租,在租,链家,丰台区,方庄,116.261348,39.886534,8634,84.9,是,精装
BJ0000196,霍营8㎡豪装合租,合租,待审核,链家,昌平区,霍营,116.262922,40.207238,2006,8,否,豪装
BJ0000197,双井23.2㎡简装合租,合租,在租,58同城,朝阳区,双井,116.422072,39.887081,2722,23.2,否,简装
BJ0000198,牡丹园17.0㎡精装合租,合租,已租,58同城,海淀区,牡丹园,116.333291,39.953848,2835,17.0,否,精装
BJ0000199,三里屯115.2㎡精装整租,整租,在租,贝壳找房,朝阳区,三里屯,116.4339,39.943711,7564,115.2,否,精装
BJ0000200,双井97.5㎡精装整租,整租,在租,链家,朝阳区,双井,116.439407,39.925379,6380,97.5,是,精装
BJ0000201,公主坟9.0㎡精装合租,合租,在租,自如,海淀区,公主坟,116.320334,39.977288,2260,9.0,是,精装
BJ0000202,大望路60.0㎡精装整租,整租,在租,链家,朝阳区,大望路,116.437188,39.919739,9266,60.0,是,精装
BJ0000203,公主坟22.8㎡精装合租,合租,待审核,贝壳找房,海淀区,公主坟,116.284577,39.968915,3852,22.8,是,精装
BJ0000204,十里堡19.6㎡简装整租,整租,在租,58同城,朝阳区,十里堡,116.417711,39.912859,9366,19.6,否,简装
BJ0000205,公主坟65.6㎡精装整租,整租,在租,自如,海淀区,公主坟,116.287201,39.993865,8644,65.6,否,精装
BJ0000206,生物医药基地16.6㎡简装合租,合租,已租,贝壳找房,大兴区,生物医药基地,116.356727,39.752317,1890,16.6,是,简装
BJ0000207,黄村22.3㎡豪装合租,合租,已租,贝壳找房,大兴区,黄村,116.337225,39.734635,1270,22.3,否,豪装
BJ0000208,龙泽13.4㎡精装合租,合租,在租,58同城,昌平区,龙泽,116.242254,40.187499,2101,13.4,是,精装
BJ0000209,广安门32.3㎡简装整租,整租,已租,链家,西城区,广安门,116.403257,39.906436,9329,32.3,是,简装
BJ0000210,西罗园17.1㎡豪装合租,合租,已租,链家,丰台区,西罗园,116.25906,39.898316,1662,17.1,否,豪装
BJ0000211,万寿路16.3㎡简装合租,合租,在租,贝壳找房,海淀区,万寿路,116.294427,39.935849,2070,16.3,否,简装
BJ0000212,霍营13.0㎡简装合租,合租,在租,58同城,昌平区,霍营,116.199949,40.244704,1639,13.0,是,简装
BJ0000213,西红门75.9㎡简装整租,整租,在租,链家,大兴区,西红门,116.316056,39.738038,3888,75.9,否,简装
BJ0000214,生物医药基地25.6㎡精装合租,合租,在租,贝壳找房,大兴区,生物医药基地,116.364981,39.732988,1527,25.6,是,精装
BJ0000215,石门营9.9㎡毛坯合租,合租,在租,贝壳找房,门头沟区,石门营,116.109758,39.949305,1457,9.9,是,毛坯
BJ0000216,国贸34.2㎡精装整租,整租,在租,链家,朝阳区,国贸,116.422586,39.890356,9483,34.2,是,精装
