name,region,address,avg_cost,service_score,env_score,overall_score,popularity,business_hours,source_url,source_site,crawl_time
"北京广电国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",西城区,北京市西城区西便门外大街,\N,4.5,\N,88,8039,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103518.html,城市惠,2026-03-24T17:42:30
"北京明日五洲KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",西城区,北京市西城区马连道南口,\N,4.5,\N,88,9495,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103525.html,城市惠,2026-03-24T17:42:34
"北京东方汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区车道沟东路,\N,4.5,\N,88,9155,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/39207.html,城市惠,2026-03-24T17:42:03
"北京东方名赫KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",东城区,北京市东城区交道口东大街,\N,4.5,\N,88,8578,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103526.html,城市惠,2026-03-24T17:42:34
"北京京浙会KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区东四环中路,\N,4.5,\N,88,9199,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103471.html,城市惠,2026-03-24T17:42:04
"北京八号公馆KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区朝阳公园西路,\N,4.5,\N,88,7423,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103472.html,城市惠,2026-03-24T17:42:05
"北京海航国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区霄云路甲,\N,4.5,\N,88,9176,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103473.html,城市惠,2026-03-24T17:42:05
"北京图兰朵KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区日坛北路,\N,4.5,\N,88,8965,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103522.html,城市惠,2026-03-24T17:42:32
"北京日坛精英汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区日坛路,\N,4.5,\N,88,8124,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103475.html,城市惠,2026-03-24T17:42:06
"北京云鼎汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区百子湾西里,\N,4.5,\N,88,10107,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103476.html,城市惠,2026-03-24T17:42:07
"北京凯富国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区工人体育场北路,\N,4.5,\N,88,5919,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103477.html,城市惠,2026-03-24T17:42:07
"北京京时国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区曙光西路临,\N,4.5,\N,88,9332,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103478.html,城市惠,2026-03-24T17:42:08
"北京昆泰紫水晶KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区门外大街乙,\N,4.5,\N,88,8404,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103479.html,城市惠,2026-03-24T17:42:09
"北京金彩汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区东三环南路乙,\N,4.5,\N,88,5609,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103481.html,城市惠,2026-03-24T17:42:10
"北京京华时代KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",\N,北京市朝阳东直门外大街,\N,4.5,\N,88,8133,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103482.html,城市惠,2026-03-24T17:42:10
"北京名人国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区安立路,\N,4.5,\N,88,8222,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103483.html,城市惠,2026-03-24T17:42:11
"北京卿城国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区民族西路,\N,4.5,\N,88,9928,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103484.html,城市惠,2026-03-24T17:42:11
"北京五洲风情KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区北辰东路,\N,4.5,\N,88,9449,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103486.html,城市惠,2026-03-24T17:42:12
"北京缤纷年代KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区光华路,\N,4.5,\N,88,9622,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103487.html,城市惠,2026-03-24T17:42:13
"北京城市之光KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区小营路,\N,4.5,\N,88,6221,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103488.html,城市惠,2026-03-24T17:42:14
"北京双子座KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区裕民路,\N,4.5,\N,88,6520,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103489.html,城市惠,2026-03-24T17:42:14
"北京城宝饭店KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区霄云里,\N,4.5,\N,88,8296,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103490.html,城市惠,2026-03-24T17:42:15
"北京中康KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区石佛营东里,\N,4.5,\N,88,9408,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103491.html,城市惠,2026-03-24T17:42:15
"北京蓝爵KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区工人体育场东路,\N,4.5,\N,88,6848,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103492.html,城市惠,2026-03-24T17:42:16
"北京宫宵国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区关东店,\N,4.5,\N,88,7673,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103493.html,城市惠,2026-03-24T17:42:16
"北京渔阳饭店KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区东直门外小街,\N,4.5,\N,88,7572,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103494.html,城市惠,2026-03-24T17:42:17
"北京金沙砾KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区东三环南路,\N,4.5,\N,88,5521,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103495.html,城市惠,2026-03-24T17:42:17
"北京星晖国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区静安中心,\N,4.5,\N,88,5623,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103496.html,城市惠,2026-03-24T17:42:18
"北京金夜星光KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区东三环北路,\N,4.5,\N,88,8618,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103497.html,城市惠,2026-03-24T17:42:18
"北京江南汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区管庄朝阳路,\N,4.5,\N,88,7059,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103498.html,城市惠,2026-03-24T17:42:19
"北京私人订制KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区大屯北路,\N,4.5,\N,88,8678,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103499.html,城市惠,2026-03-24T17:42:20
"北京百乐门KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区慧忠路,\N,4.5,\N,88,9025,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103500.html,城市惠,2026-03-24T17:42:20
"北京星辉国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区北三环东路,\N,4.5,\N,88,7332,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103501.html,城市惠,2026-03-24T17:42:21
"北京名媛国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区东北三环,\N,4.5,\N,88,9259,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103502.html,城市惠,2026-03-24T17:42:21
"北京骏马国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区中关村南路南,\N,4.5,\N,88,5185,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103505.html,城市惠,2026-03-24T17:42:23
"北京金钻KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区花园东路,\N,4.5,\N,88,10145,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103506.html,城市惠,2026-03-24T17:42:23
"北京东方汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区紫竹院路,\N,4.5,\N,88,6088,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103507.html,城市惠,2026-03-24T17:42:24
"北京友谊KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区中关村南大街,\N,4.5,\N,88,8643,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103508.html,城市惠,2026-03-24T17:42:24
"北京皇家富丽宫KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区新世纪日航饭店,\N,4.5,\N,88,6464,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103509.html,城市惠,2026-03-24T17:42:25
"北京金科文KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区文慧园斜街,\N,4.5,\N,88,5599,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103510.html,城市惠,2026-03-24T17:42:26
"北京华丽汇KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区北四环,\N,4.5,\N,88,8723,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103511.html,城市惠,2026-03-24T17:42:26
"北京辽宁大厦KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",海淀区,北京市海淀区北四环西路,\N,4.5,\N,88,8969,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103512.html,城市惠,2026-03-24T17:42:27
"北京威尼斯KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",丰台区,北京市丰台区西三环南辅路,\N,4.5,\N,88,6110,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103513.html,城市惠,2026-03-24T17:42:27
"北京钻石七号KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",丰台区,北京市丰台区万丰路,\N,4.5,\N,88,7723,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103514.html,城市惠,2026-03-24T17:42:28
"北京玉明珠KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",丰台区,北京市丰台区西四环中路,\N,4.5,\N,88,6851,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103515.html,城市惠,2026-03-24T17:42:28
"北京圣瑞华KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",丰台区,北京市丰台区马家堡路,\N,4.5,\N,88,8158,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103516.html,城市惠,2026-03-24T17:42:29
"北京国宾KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",西城区,北京市西城区阜成门外大街,\N,4.5,\N,88,7775,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103517.html,城市惠,2026-03-24T17:42:29
"北京金碧国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",西城区,北京市西城区马连道,\N,4.5,\N,88,7958,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103519.html,城市惠,2026-03-24T17:42:30
"北京富华KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",东城区,北京市东城区朝阳门北大街,\N,4.5,\N,88,6386,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103521.html,城市惠,2026-03-24T17:42:32
"北京鑫耀国际KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",朝阳区,北京市朝阳区小营北路,\N,4.5,\N,88,9615,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103523.html,城市惠,2026-03-24T17:42:33
"北京百富怡KTV】消费价格,怎么样,预订电话,地址-北京商务KTV-城市惠",东城区,北京市东城区东直门外大街,\N,4.5,\N,88,9167,晚上19:00至凌晨3:30 所在区域： 所在榜单： 北京商务KTV排行榜,https://www.cityhui.com/shop/103527.html,城市惠,2026-03-24T17:42:35
